EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,27.90015940000012,None,RLM,images/OBJ_154.png,images/OBJ_60.png,images/OBJ_194.png,29.121565100000225,30.62319329999991,31.123156999999992,32.622290399999656,33.122080500000266,None,29.122956760000307,None,31.123136539999905,None,33.12254983999992,None,34.62172920000012,None,same,None,1,36.25161620000017,37.754613099999915,38.25446060000013,39.75352120000025,40.25335170000017,None,36.254574460000185,None,38.25390233999951,None,40.2533505399997,None,41.75344529999984,None,1,['leftCL'],42.753197299999556,None,42.753197299999556,None,42.753197299999556,None,42.753197299999556,None,42.753197299999556,None,-0.177734375,-0.22265625,1,0,0,2.113507600000048,leftCL,0.01326333999986673,None,44.86917773999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000001,2022-10-20_16h18.03.534,exp,2021.1.4,60.12914537854591,
1,0,1,0,,,,,,,,,,,LMR,images/OBJ_139.png,images/OBJ_199.png,images/OBJ_174.png,45.6610727999996,47.16852719999952,47.65163649999977,49.15080599999965,49.65111530000013,None,45.66785856000024,None,47.65169074000005,None,49.651115839999875,None,51.1507088999997,None,same,None,2,52.693638400000054,54.19984209999984,54.682983499999864,56.18257249999988,56.68197770000006,None,52.700012459999925,None,54.6828950400004,None,56.68230693999976,None,58.18194810000023,None,1,['leftCL'],59.181604600000355,None,59.181604600000355,None,59.181604600000355,None,59.181604600000355,None,59.181604600000355,None,-0.18359375,-0.232421875,1,0,0,2.1665858000005755,leftCL,0.016375840000364406,None,61.34775314000035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000001,2022-10-20_16h18.03.534,exp,2021.1.4,60.12914537854591,
2,0,2,0,,,,,,,,,,,RLM,images/OBJ_182.png,images/OBJ_77.png,images/OBJ_197.png,62.118904300000395,63.62994069999968,64.11317919999965,65.61317899999995,66.11305569999968,None,62.12977362000038,None,64.11361244,None,66.11250454000037,None,67.61263090000011,None,diff,LMR,3,69.16814189999968,70.67789119999998,71.1611254999998,72.6606498000001,73.16054600000007,None,69.17856415999995,None,71.16106474000026,None,73.16098734000025,None,74.6601311000004,None,1,['rightCL'],75.66031649999968,None,75.66031649999968,None,75.66031649999968,None,75.66031649999968,None,75.66031649999968,None,0.111328125,-0.2763671875,1,0,0,1.0492456000001766,rightCL,0.016394839999520627,None,76.7094740399998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000001,2022-10-20_16h18.03.534,exp,2021.1.4,60.12914537854591,
3,0,3,0,,,,,,,,,,,LMR,images/OBJ_87.png,images/OBJ_152.png,images/OBJ_44.png,77.48212880000028,78.99214649999976,79.47535779999998,80.97493339999983,81.4747809999999,None,77.49201622000055,None,79.47533803999977,None,81.47477444000015,None,82.97437530000025,None,same,LMR,4,84.51865269999962,86.02384669999992,86.50667900000008,88.00665649999974,88.50644759999977,None,84.52367795999999,None,86.50712594000015,None,88.50654474000021,None,90.00567349999983,None,1,['leftCL'],91.00541280000016,None,91.00541280000016,None,91.00541280000016,None,91.00541280000016,None,91.00541280000016,None,-0.173828125,-0.3447265625,1,0,0,1.7829181999995853,leftCL,0.016407539999818255,None,92.78817384000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000001,2022-10-20_16h18.03.534,exp,2021.1.4,60.12914537854591,
4,0,4,0,,,,,,,,,,,LMR,images/OBJ_103.png,images/OBJ_97.png,images/OBJ_18.png,93.55415999999968,95.05467020000015,95.55405989999963,97.05410500000016,97.55349139999998,None,93.55406748000041,None,95.5545283399997,None,97.55385983999986,None,99.05302389999997,None,same,LMR,5,100.5917470000004,102.10213709999971,102.58537150000029,104.08491080000022,104.58476109999992,None,100.60240445999989,None,102.58529803999954,None,104.58471264000036,None,106.08433690000038,None,1,['leftCL'],107.08402899999965,None,107.08402899999965,None,107.08402899999965,None,107.08402899999965,None,107.08402899999965,None,-0.16796875,-0.3505859375,1,0,0,1.4996798000001945,leftCL,0.016403339999669697,None,108.58358253999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000001,2022-10-20_16h18.03.534,exp,2021.1.4,60.12914537854591,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.64908503999959,None,old,images/OBJ_154.png,109.35697019999952,None,109.36661932000061,None,110.86630580000019,None,1,111.8660047000003,None,111.8660047000003,None,111.8660047000003,None,111.8660047000003,None,111.8660047000003,None,111.8660047000003,None,111.8660047000003,None,-0.017578125,0.0927734375,1,0,0,first_left,0.016342039999472036,None,,,,,,,,,00000001,2022-10-20_16h18.03.534,exp,2021.1.4,60.12914537854591,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.58176074000039,None,old,images/OBJ_18.png,113.37688590000016,None,113.38210140000047,None,114.88180990000001,None,2,115.88153700000021,None,115.88153700000021,None,115.88153700000021,None,115.88153700000021,None,115.88153700000021,None,115.88153700000021,None,115.88153700000021,None,0.0400390625,-0.232421875,1,0,0,third_right,0.016408339999543387,None,,,,,,,,,00000001,2022-10-20_16h18.03.534,exp,2021.1.4,60.12914537854591,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.11410694000006,None,old,images/OBJ_174.png,117.31032080000023,None,117.31390509999983,None,118.81449379999958,None,3,119.81370340000012,None,119.81370340000012,None,119.81370340000012,None,119.81370340000012,None,119.81370340000012,None,119.81370340000012,None,119.81370340000012,None,0.00390625,-0.1513671875,1,0,0,second_middle,0.01638834000004863,None,,,,,,,,,00000001,2022-10-20_16h18.03.534,exp,2021.1.4,60.12914537854591,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.66309204000027,None,old,images/OBJ_152.png,120.84631329999957,None,120.84622039999977,None,122.34629039999982,None,4,123.34656480000012,None,123.34656480000012,None,123.34656480000012,None,123.34656480000012,None,123.34656480000012,None,123.34656480000012,None,123.34656480000012,None,0.013671875,-0.2509765625,1,0,0,third_right,0.016405040000790905,None,,,,,,,,,00000001,2022-10-20_16h18.03.534,exp,2021.1.4,60.12914537854591,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.16155014000014,None,old,images/OBJ_87.png,124.3907707999997,None,124.39520780000021,None,125.89527230000022,None,5,126.89500409999982,None,126.89500409999982,None,126.89500409999982,None,126.89500409999982,None,126.89500409999982,None,126.89500409999982,None,126.89500409999982,None,-0.04296875,-0.0927734375,1,0,0,second_middle,0.016410339999310963,None,,,,,,,,,00000001,2022-10-20_16h18.03.534,exp,2021.1.4,60.12914537854591,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.74385903999973,None,old,images/OBJ_139.png,127.89252049999959,None,127.89467609999974,None,129.39424419999978,None,6,130.3944935999998,None,130.3944935999998,None,130.3944935999998,None,130.3944935999998,None,130.3944935999998,None,130.3944935999998,None,130.3944935999998,None,-0.0283203125,-0.056640625,1,0,0,second_middle,0.01641483999992488,None,,,,,,,,,00000001,2022-10-20_16h18.03.534,exp,2021.1.4,60.12914537854591,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.29281684000034,None,old,images/OBJ_44.png,131.48293000000012,None,131.49314974000026,None,132.9932563000002,None,7,133.99294219999956,None,133.99294219999956,None,133.99294219999956,None,133.99294219999956,None,133.99294219999956,None,133.99294219999956,None,133.99294219999956,None,-0.0263671875,0.048828125,1,0,0,first_left,0.0164061400000719,None,,,,,,,,,00000001,2022-10-20_16h18.03.534,exp,2021.1.4,60.12914537854591,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0750845399998,None,old,images/OBJ_194.png,135.0323940999997,None,135.04267093999988,None,136.5422120000003,None,8,137.54223360000015,None,137.54223360000015,None,137.54223360000015,None,137.54223360000015,None,137.54223360000015,None,137.54223360000015,None,137.54223360000015,None,-0.0556640625,0.0849609375,1,0,0,first_left,0.016365339999538264,None,,,,,,,,,00000001,2022-10-20_16h18.03.534,exp,2021.1.4,60.12914537854591,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.57499089999965,318.59005119999983,318.556603,None,space,64.91723739999998,318.556603,None,00000001,2022-10-20_16h18.03.534,exp,2021.1.4,60.12914537854591,
