EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,10.382224700000734,None,10.606750900000407,None,MLR,images/OBJ_130.png,images/OBJ_182.png,images/OBJ_123.png,12.474234100000103,13.979002800000671,14.462727500000256,15.961765899999591,16.461611300001096,None,12.478751380001995,None,14.462190460000784,None,16.462006360001396,None,17.961218100001133,None,same,None,1,19.595019100001082,21.110817700000553,21.59352150000086,23.09306060000017,23.59338949999983,None,19.594141040000977,None,21.593430160000935,None,23.59335036000084,None,25.092944300000454,None,1,['leftCL'],26.09215580000091,None,26.09215580000091,None,26.09215580000091,None,26.09215580000091,None,26.09215580000091,None,-0.267578125,-0.2763671875,1,0,0,0.4467800000002171,leftCL,0.013210959999923944,None,26.54199336000056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,try,2023-07-18_15h54.23.883,exp,2021.1.4,60.01867781239526,
1,0,1,0,,,,,,,,,,,27.29555900000014,None,LMR,images/OBJ_64.png,images/OBJ_65.png,images/OBJ_12.png,29.07004760000018,30.574185800000123,31.057355099999768,32.556892500000686,33.05676669999957,None,29.07410082000206,None,31.057316360000186,None,33.05672656000024,None,34.55635660000007,None,same,None,2,36.08568490000107,37.5887745,38.08865080000032,39.588216699999975,40.088046300001224,None,36.08904108000024,None,38.08861036000053,None,40.088037560000885,None,41.58812899999975,None,1,['leftCL'],42.58783519999997,None,42.58783519999997,None,42.58783519999997,None,42.58783519999997,None,42.58783519999997,None,-0.267578125,-0.2763671875,1,0,0,0.26715710000098625,leftCL,0.01637146000211942,None,42.854417160000594,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,try,2023-07-18_15h54.23.883,exp,2021.1.4,60.01867781239526,
2,0,2,0,,,,,,,,,,,43.58142100000077,None,RLM,images/OBJ_81.png,images/OBJ_109.png,images/OBJ_158.png,45.35394970000016,46.86939490000077,47.35261110000101,48.8521681000002,49.35205810000116,None,45.35268372000246,None,47.35259826000038,None,49.35202806000052,None,50.85159089999979,None,diff,LMR,3,52.385372099999586,53.90069089999997,54.38389470000038,55.88346149999961,56.383861700000125,None,52.38481808000142,None,54.38388115999987,None,56.38326985999993,None,57.882906800001365,None,1,['rightCL'],58.88259090000065,None,58.88259090000065,None,58.88259090000065,None,58.88259090000065,None,58.88259090000065,None,0.203125,-0.263671875,1,0,0,0.4999373000009655,rightCL,0.016373559999919962,None,59.38242926000021,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,try,2023-07-18_15h54.23.883,exp,2021.1.4,60.01867781239526,
3,0,3,0,,,,,,,,,,,60.1079522,None,MRL,images/OBJ_1.png,images/OBJ_116.png,images/OBJ_37.png,61.87889090000135,63.38129310000113,63.88117360000069,65.38073350000013,65.88056200000028,None,61.88122582000142,None,63.88160466000045,None,65.88102575999983,None,67.38011910000023,None,same,LMR,4,68.91443080000136,70.42921829999977,70.91241690000061,72.41199710000001,72.91189330000088,None,68.91282368000066,None,70.9123874600009,None,72.91229586000009,None,74.41142220000074,None,1,['leftCL'],75.41159200000038,None,75.41159200000038,None,75.41159200000038,None,75.41159200000038,None,75.41159200000038,None,-0.2548828125,-0.2119140625,1,0,0,0.28332339999906253,leftCL,0.016370760000427254,None,75.69435945999976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,try,2023-07-18_15h54.23.883,exp,2021.1.4,60.01867781239526,
4,0,4,0,,,,,,,,,,,76.42045440000038,None,RML,images/OBJ_146.png,images/OBJ_74.png,images/OBJ_119.png,78.18766789999972,79.69367779999993,80.17640460000075,81.67645129999983,82.17630670000108,None,78.19312332000118,None,80.17634956000074,None,82.17581625999992,None,83.6753901000011,None,same,LMR,5,85.20637050000005,86.70782070000132,87.20768150000004,88.7072363999996,89.20709160000115,None,85.20807968000008,None,87.20765066000058,None,89.20705715999975,None,90.70715790000031,None,1,['leftCL'],91.70677960000103,None,91.70677960000103,None,91.70677960000103,None,91.70677960000103,None,91.70677960000103,None,-0.2265625,-0.328125,1,0,0,0.28282279999984894,leftCL,0.01636436000080721,None,91.98956926000028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,try,2023-07-18_15h54.23.883,exp,2021.1.4,60.01867781239526,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.83868556000016,None,old,images/OBJ_146.png,92.77051940000092,None,92.77252088000205,None,94.27226020000126,None,1,95.27247950000128,None,96.23838510000132,None,96.23838510000132,None,96.23838510000132,None,96.23838510000132,None,96.23838510000132,None,96.23838510000132,None,-0.009765625,-0.048828125,1,0,0,second_middle,0.9991214600013336,None,,,,,,,,,try,2023-07-18_15h54.23.883,exp,2021.1.4,60.01867781239526,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.33736366000085,None,old,images/OBJ_64.png,97.59549069999957,None,97.60460902000159,None,99.10423210000044,None,2,100.10389790000045,None,101.07026279999991,None,101.07026279999991,None,101.07026279999991,None,101.07026279999991,None,101.07026279999991,None,101.07026279999991,None,-0.0322265625,0.029296875,1,0,0,first_left,0.9992152600007103,None,,,,,,,,,try,2023-07-18_15h54.23.883,exp,2021.1.4,60.01867781239526,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.81886566000139,None,old,images/OBJ_1.png,102.07806309999978,None,102.08616646000155,None,103.58624090000012,None,3,104.58589910000046,None,105.55281680000007,None,105.55281680000007,None,105.55281680000007,None,105.55281680000007,None,105.55281680000007,None,105.55281680000007,None,-0.0439453125,0.044921875,1,0,0,first_left,0.9997034600019106,None,,,,,,,,,try,2023-07-18_15h54.23.883,exp,2021.1.4,60.01867781239526,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.7174721600004,None,old,images/OBJ_182.png,106.57661499999995,None,106.58484332000262,None,108.08494369999971,None,4,109.08502940000108,None,110.05100029999994,None,110.05100029999994,None,110.05100029999994,None,110.05100029999994,None,110.05100029999994,None,110.05100029999994,None,-0.0703125,-0.2490234375,1,0,0,third_right,0.9992265599994425,None,,,,,,,,,try,2023-07-18_15h54.23.883,exp,2021.1.4,60.01867781239526,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.23442962000081,None,None,None,space,0.581507099999726,None,None,try,2023-07-18_15h54.23.883,exp,2021.1.4,60.01867781239526,
,,,,,,,,,,,,,,111.4505836999997,None,RML,images/OBJ_136.png,images/OBJ_129.png,images/OBJ_89.png,112.99301840000044,114.49973330000103,114.98290420000012,116.48249870000109,116.98231490000035,None,113.00003574000038,None,114.98324416000105,None,116.98227086000043,None,118.48190419999992,None,diff,LMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
